id,name,type,city,area,address,phone,latitude,longitude
west-kelowna-hatching-post,The Hatching Post,,West Kelowna,West Kelowna,"2850 Boucherie Rd, West Kelowna, BC V1Z 2G5",,49.8550877,-119.5589392
west-kelowna-modest-butcher,The Modest Butcher,,West Kelowna,West Kelowna,"829 Douglas Rd, West Kelowna, BC V1Z 1N9",,49.8553899,-119.5525289
west-kelowna-19-greens,19 Okanagan Grill + Bar,,West Kelowna,West Kelowna,"3509 Carrington Rd, West Kelowna, BC V4T 2E6",,49.8384191,-119.6093918
west-kelowna-landing-kitchen-bar,The Landing Kitchen + Bar,,West Kelowna,West Kelowna,"4205 Gellatly Rd, West Kelowna, BC V4T 2K4",,49.8110036,-119.6266749
west-kelowna-original-joes,Original Joe's – West Kelowna,,West Kelowna,West Kelowna,"3000 Louie Dr Unit 114, West Kelowna, BC V4T 3E1",,49.8366707,-119.6203626
west-kelowna-kelly-obryans,Kelly & Carlos O'Bryan's – West Kelowna,,West Kelowna,West Kelowna,"3470 Carrington Rd, Westbank, BC V4T 3V1",,49.8403854,-119.60709
lake-country-woodys-pub,Woody's Pub,,Lake Country,Lake Country,"9882 BC-97, Lake Country, BC V4V 1V7",,50.0253963,-119.4083618
lake-country-turtle-bay-pub,Turtle Bay Pub,,Lake Country,Lake Country,"2850 Woodsdale Rd, Lake Country, BC V4V 2L2",,50.0528805,-119.4126376
lake-country-block-one,BLOCK ONE at 50th Parallel Estate Winery,,Lake Country,Lake Country,"17101 Terrace View Rd, Lake Country, BC V4V 1B7",,50.1293632,-119.4508574
lake-country-garden-bistro-peak-cellars,Garden Bistro at Peak Cellars,,Lake Country,Lake Country,"2290 Goldie Rd, Lake Country, BC V4V 1G5",,50.060351,-119.429836
lake-country-britannia-brewing,Britannia Brewing,,Lake Country,Lake Country,"8999 Jim Bailey Rd, Kelowna, BC V4V 1R7",,50.0112518,-119.3937762
